School Code,"Enrolled
(K-12)","Utilized
(K-12)","Percent_Eligable
Eligible FRPM 
(K-12)"
6003370,456,397,0.87
6121016,9,9,1.00
6002927,67,63,0.94
0000001,3,0,0.00
0433946,35,22,0.63
0433953,637,419,0.66
6003156,311,238,0.77
6003164,472,346,0.73
6003172,601,470,0.78
0530048,26,25,0.96
0530154,458,243,0.53
6077150,15,1,0.07
9010745,15,13,0.87
0000001,3,1,0.33
0530014,23,14,0.61
0530121,17,6,0.35
0532507,646,264,0.41
0000001,8,4,0.50
0530022,46,34,0.74
0530055,40,22,0.55
0531509,837,399,0.48
6003404,84,43,0.51
6003420,62,42,0.68
6003438,264,190,0.72
6003446,485,279,0.58
6003453,92,68,0.74
6105431,440,247,0.56
6108518,512,270,0.53
6003388,276,180,0.65
6003461,545,341,0.63
6003396,157,88,0.56
6088975,214,105,0.49
6111884,196,84,0.43
0630111,20,14,0.70
0630012,16,14,0.88
0630046,69,36,0.52
0631259,400,246,0.62
6003495,402,332,0.83
6057152,563,409,0.73
0133223,71,56,0.79
0634758,101,68,0.67
6003503,155,110,0.71
0630087,10,9,0.90
0635250,436,273,0.63
6003511,611,453,0.74
6003537,55,49,0.89
6103576,361,245,0.68
0118729,321,289,0.90
