Zip Code,Median,Mean,Pop
43223,35936.00,41670.00,27742.00
43224,32539.00,39035.00,40672.00
43227,36838.00,42046.00,23153.00
43228,42022.00,48122.00,46105.00
43229,41689.00,49353.00,45874.00
43230,68775.00,81377.00,48564.00
43231,42791.00,49031.00,17074.00
43232,42159.00,49035.00,39998.00
43235,71006.00,89201.00,37310.00
43240,76655.00,91574.00,1168.00
43302,35208.00,44315.00,50516.00
43310,51606.00,61311.00,3221.00
43311,42800.00,53351.00,18886.00
43314,51218.00,61655.00,3162.00
43315,49121.00,52404.00,6333.00
43316,44173.00,52094.00,6367.00
43317,52725.00,58187.00,180.00
43318,49453.00,59778.00,3595.00
43319,55294.00,71073.00,972.00
43320,44800.00,49870.00,1488.00
43321,47553.00,50099.00,279.00
43323,46912.00,55743.00,692.00
43324,51838.00,64676.00,2840.00
43326,38830.00,45323.00,13919.00
43330,60350.00,71072.00,132.00
43331,42227.00,50279.00,5208.00
43332,8447.00,10310.00,382.00
43333,47230.00,57857.00,827.00
43334,56152.00,63002.00,5674.00
43336,55294.00,71073.00,37.00
43337,49127.00,62793.00,1093.00
43338,47518.00,53044.00,9301.00
43340,51499.00,59372.00,1555.00
43341,2638.00,3386.00,51.00
43342,55700.00,57088.00,2904.00
43343,48742.00,58804.00,1523.00
43344,57909.00,65202.00,5397.00
43345,50874.00,59669.00,969.00
43347,51108.00,61510.00,1477.00
43348,36358.00,47155.00,2290.00
43351,45859.00,55678.00,10286.00
43356,62836.00,64867.00,1064.00
43357,55428.00,65021.00,4516.00
43358,54400.00,63988.00,2295.00
43359,60350.00,71072.00,872.00
43360,55294.00,71073.00,1516.00
43402,45139.00,56122.00,29978.00
43403,12727.00,19537.00,5708.00
43406,56800.00,58702.00,2011.00
43407,53591.00,63093.00,679.00
43408,75819.00,77393.00,283.00
43410,50580.00,55207.00,9946.00
43412,71222.00,73113.00,4449.00
43413,50455.00,56841.00,1306.00
43416,63747.00,68660.00,2923.00
43420,46404.00,53017.00,32099.00
43430,58108.00,68155.00,4859.00
43431,46901.00,56701.00,4631.00
43432,64296.00,68900.00,1284.00
43433,41260.00,53413.00,151.00
43434,59050.00,71258.00,94.00
43435,52798.00,61479.00,1597.00
43437,48724.00,56958.00,453.00
43438,95909.00,129314.00,367.00
43439,41260.00,53413.00,130.00
43440,51527.00,65826.00,4385.00
43442,60882.00,64600.00,1036.00
43443,56698.00,65821.00,1698.00
43445,66221.00,71206.00,1170.00
43446,56250.00,89116.00,94.00
43447,61692.00,67633.00,3385.00
43449,51310.00,59408.00,8314.00
43450,66910.00,72800.00,3679.00
43451,50188.00,61698.00,1111.00
43452,47875.00,61037.00,13822.00
43456,56250.00,89116.00,665.00
43457,53876.00,57143.00,1581.00
43458,64296.00,68900.00,386.00
43460,65521.00,81757.00,6352.00
43462,56721.00,69932.00,1284.00
43463,56339.00,65572.00,19.00
43464,53535.00,61073.00,1634.00
43465,39650.00,49179.00,4868.00
43466,53942.00,56283.00,2117.00
43467,44875.00,48333.00,20.00
43468,75819.00,77393.00,246.00
43469,55458.00,63269.00,2987.00
43501,45917.00,52366.00,933.00
43502,51265.00,58634.00,6965.00
43504,81641.00,98930.00,1061.00
43505,50708.00,57226.00,118.00
43506,46199.00,56158.00,14956.00
43511,51658.00,59685.00,949.00
43512,47378.00,56462.00,29272.00
43515,50496.00,58676.00,8067.00
43516,47146.00,53660.00,3037.00
43517,51132.00,59780.00,3817.00
43518,50710.00,57229.00,2837.00
43519,58714.00,62610.00,201.00
43521,49544.00,58440.00,2915.00
43522,63770.00,78074.00,3396.00
43523,44803.00,55534.00,36.00
43524,46752.00,53302.00,1375.00
43525,82027.00,87794.00,607.00
43526,41198.00,49282.00,6071.00
43527,52506.00,62224.00,2478.00
43528,62155.00,78436.00,14427.00
43529,50463.00,56191.00,262.00
43531,45917.00,52366.00,192.00
43532,56469.00,62091.00,4036.00
43533,54319.00,64641.00,1556.00
43534,46750.00,56582.00,1747.00
43535,44803.00,55534.00,755.00
43536,47925.00,59515.00,445.00
43537,59449.00,72158.00,24395.00
43540,57636.00,60425.00,1274.00
43541,53036.00,61544.00,195.00
43542,90994.00,113456.00,2528.00
43543,40081.00,46208.00,8249.00
43545,46882.00,55949.00,14613.00
43547,64667.00,77601.00,297.00
43548,52418.00,62262.00,723.00
43549,48142.00,64603.00,1384.00
43551,65491.00,84008.00,33516.00
43553,49738.00,59156.00,203.00
43554,45833.00,52365.00,2535.00
43555,61020.00,66891.00,151.00
43556,47916.00,59312.00,1837.00
43557,55135.00,57952.00,3460.00
43558,56683.00,65598.00,13882.00
43560,73264.00,90636.00,28336.00
43565,63806.00,79930.00,364.00
43566,73344.00,90327.00,6671.00
43567,47818.00,56319.00,12866.00
43569,53855.00,63183.00,2866.00
43570,43470.00,52543.00,3427.00
43571,72459.00,85975.00,5473.00
43604,14028.00,21627.00,10700.00
43605,25668.00,31969.00,31910.00
43606,49102.00,61329.00,28621.00
43607,26955.00,35190.00,26743.00
43608,23078.00,29338.00,19108.00
43609,32186.00,38924.00,27786.00
43610,30325.00,37484.00,6848.00
43611,44235.00,49999.00,21280.00
43612,35710.00,41505.00,27705.00
43613,45346.00,52315.00,33262.00
43614,46653.00,56812.00,30179.00
43615,42225.00,55180.00,38278.00
43616,52665.00,61764.00,19850.00
43617,90426.00,107540.00,7870.00
43619,57437.00,66504.00,7616.00
43620,22114.00,35844.00,7258.00
43623,47883.00,73888.00,20584.00
43701,37088.00,47579.00,55799.00
43711,40989.00,50510.00,84.00
43713,39340.00,52793.00,7266.00
43716,42641.00,51265.00,2062.00
43717,36549.00,49070.00,198.00
43718,40176.00,49689.00,3279.00
43719,35919.00,46283.00,2651.00
43720,46387.00,55719.00,1347.00
43721,63778.00,67850.00,143.00
43722,32867.00,42799.00,476.00
43723,33880.00,43523.00,5111.00
43724,37353.00,48930.00,8567.00
43725,35356.00,43936.00,21133.00
43727,49240.00,61524.00,1340.00
43728,28753.00,38832.00,1299.00
43730,40582.00,45305.00,2397.00
43731,34681.00,41423.00,5352.00
43732,49241.00,55154.00,1704.00
43733,33979.00,43594.00,121.00
43734,50795.00,61003.00,1069.00
43735,47855.00,53536.00,511.00
43736,42411.00,53655.00,48.00
43738,56518.00,60319.00,148.00
43739,56722.00,65317.00,1902.00
